Delivery_id,Order_id,Delivery_status,Rider_id
1,1,Failed,715
2,2,Failed,155
3,3,Pending,1867
4,4,Failed,1406
5,5,Failed,712
6,6,Failed,1586
7,7,Completed,1586
8,8,Failed,1802
9,9,Failed,816
10,10,Completed,1377
11,11,Failed,1187
12,12,Completed,1843
13,13,Completed,682
14,14,Failed,1329
15,15,Failed,1258
16,16,Pending,1060
17,17,Pending,497
18,18,Completed,1362
19,19,Completed,1888
20,20,Completed,1174
21,21,Completed,537
22,22,Pending,790
23,23,Failed,1286
24,24,Pending,1889
25,25,Pending,1753
26,26,Pending,1073
27,27,Completed,800
28,28,Completed,1508
29,29,Pending,1472
30,30,Failed,1602
31,31,Pending,749
32,32,Completed,154
33,33,Pending,1441
34,34,Pending,1753
35,35,Pending,715
36,36,Pending,1682
37,37,Failed,1128
38,38,Failed,123
39,39,Completed,1168
40,40,Completed,115
41,41,Failed,620
42,42,Pending,1203
43,43,Completed,1505
44,44,Pending,539
45,45,Failed,367
46,46,Failed,467
47,47,Pending,1046
48,48,Completed,374
49,49,Pending,1321
50,50,Completed,1629
51,51,Pending,1884
52,52,Failed,1064
53,53,Pending,143
54,54,Completed,1343
55,55,Pending,1127
56,56,Completed,1339
57,57,Completed,435
58,58,Failed,281
59,59,Pending,37
60,60,Pending,548
61,61,Completed,1511
62,62,Pending,1765
63,63,Failed,479
64,64,Failed,857
65,65,Completed,1226
66,66,Failed,1735
67,67,Pending,775
68,68,Pending,815
69,69,Completed,1264
70,70,Completed,319
71,71,Completed,1231
72,72,Failed,401
73,73,Failed,121
74,74,Completed,1027
75,75,Completed,1667
76,76,Completed,751
77,77,Failed,1550
78,78,Pending,16
79,79,Pending,301
80,80,Completed,775
81,81,Completed,224
82,82,Failed,1248
83,83,Failed,227
84,84,Completed,1805
85,85,Failed,1383
86,86,Completed,1052
87,87,Failed,760
88,88,Failed,676
89,89,Completed,116
90,90,Completed,1884
91,91,Pending,1758
92,92,Failed,1416
93,93,Completed,1175
94,94,Completed,342
95,95,Pending,1059
96,96,Failed,1055
97,97,Failed,1594
98,98,Failed,123
99,99,Pending,1314
100,100,Completed,1069
101,101,Completed,353
102,102,Pending,526
103,103,Pending,1465
104,104,Pending,400
105,105,Failed,1648
106,106,Failed,185
