Order_id,Customer_id,Restaurant_id,Order_item,Order_time,Order_status,Total_amount
1,4043,210,Rogan Josh,2024-09-25 07:21:41,Cancelled,1446.7
2,5763,89,Butter Chicken,2022-09-25 07:21:41,Delivered,787.49
3,3596,174,Rogan Josh,2024-02-15 07:21:41,Delivered,902.96
4,1866,223,Pani Puri,2024-05-20 07:21:41,Cancelled,1267.97
5,5024,84,Paneer Tikka,2023-10-19 07:21:41,Delivered,330.47
6,9787,116,Butter Chicken,2023-08-22 07:21:41,Delivered,272.09
7,4473,116,Dal Makhani,2024-01-31 07:21:41,Delivered,385.31
8,8775,152,Rogan Josh,2023-01-15 07:21:41,Preparing,1097.13
9,3588,353,Dosa,2023-09-11 07:21:41,Cancelled,566.49
10,8634,280,Chole Bhature,2022-10-10 07:21:41,Preparing,1065.56
11,2185,400,Butter Chicken,2022-03-11 07:21:41,Preparing,436.0
12,8492,128,Mutton Curry,2024-04-19 07:21:41,Cancelled,1391.86
13,405,12,Dosa,2023-09-20 07:21:41,Preparing,586.11
14,814,334,Biryani,2025-02-10 07:21:41,Preparing,1331.34
15,948,198,Chole Bhature,2023-11-02 07:21:41,Cancelled,371.93
16,7725,375,Biryani,2023-11-20 07:21:41,Cancelled,1389.37
17,4982,486,Dal Makhani,2024-08-18 07:21:41,Delivered,1046.35
18,4906,112,Mutton Curry,2022-11-19 07:21:41,Delivered,1375.38
19,6017,83,Chole Bhature,2023-11-14 07:21:41,Delivered,772.38
20,7532,196,Dosa,2022-03-28 07:21:41,Preparing,1152.5
21,572,267,Samosa,2023-10-20 07:21:41,Preparing,1359.24
22,6210,116,Dosa,2023-08-11 07:21:41,Preparing,1357.66
23,7943,40,Dosa,2023-06-03 07:21:41,Delivered,1007.09
24,205,324,Pani Puri,2024-09-21 07:21:41,Cancelled,679.71
25,4154,110,Butter Chicken,2022-05-26 07:21:41,Preparing,253.22
26,8288,185,Pani Puri,2023-05-10 07:21:41,Cancelled,894.16
27,3261,314,Dosa,2024-06-02 07:21:41,Delivered,852.33
28,7143,315,Paneer Tikka,2022-06-23 07:21:41,Preparing,626.82
29,3721,131,Dosa,2022-04-06 07:21:41,Preparing,494.41
30,8096,312,Samosa,2023-04-08 07:21:41,Preparing,752.59
31,4158,305,Paneer Tikka,2023-04-09 07:21:41,Cancelled,1024.9
32,5180,181,Rogan Josh,2023-05-27 07:21:41,Preparing,716.7
33,8526,400,Paneer Tikka,2023-03-28 07:21:41,Cancelled,703.15
34,5119,403,Dosa,2024-07-11 07:21:41,Cancelled,1399.67
35,7286,301,Paneer Tikka,2025-02-15 07:21:41,Preparing,613.02
36,8285,14,Dosa,2022-06-04 07:21:41,Delivered,1103.75
37,7942,300,Biryani,2023-03-06 07:21:41,Delivered,580.98
38,3432,323,Dosa,2022-08-22 07:21:41,Preparing,511.83
39,5224,258,Samosa,2024-12-24 07:21:41,Preparing,362.82
40,7916,397,Biryani,2023-09-25 07:21:41,Preparing,108.09
41,7736,346,Butter Chicken,2023-03-05 07:21:41,Cancelled,1405.79
42,2690,193,Biryani,2023-12-25 07:21:41,Preparing,147.74
43,2864,138,Samosa,2024-09-04 07:21:41,Preparing,1493.3
44,5039,134,Paneer Tikka,2023-07-07 07:21:41,Preparing,602.36
45,7989,128,Dal Makhani,2023-01-06 07:21:41,Preparing,1050.57
46,799,260,Rogan Josh,2022-10-13 07:21:41,Preparing,1197.53
47,9645,337,Paneer Tikka,2024-08-20 07:21:41,Delivered,488.99
48,629,198,Dosa,2024-07-28 07:21:41,Preparing,1297.35
49,7639,293,Rogan Josh,2022-09-22 07:21:41,Delivered,143.35
50,3411,248,Samosa,2024-09-21 07:21:41,Delivered,361.8
51,7015,435,Samosa,2022-08-26 07:21:41,Delivered,1075.38
52,7931,427,Pani Puri,2022-09-16 07:21:41,Preparing,1293.53
53,184,307,Pani Puri,2022-05-14 07:21:41,Cancelled,1135.99
54,8569,200,Chole Bhature,2023-09-25 07:21:41,Cancelled,1409.22
55,7743,377,Samosa,2024-09-10 07:21:41,Delivered,166.64
56,7181,7,Butter Chicken,2022-03-08 07:21:41,Preparing,1294.27
57,3166,33,Paneer Tikka,2023-03-13 07:21:41,Preparing,1149.95
58,6065,262,Samosa,2022-07-27 07:21:41,Cancelled,730.12
59,9954,116,Dosa,2023-02-04 07:21:41,Delivered,835.99
60,6856,144,Butter Chicken,2023-10-21 07:21:41,Delivered,528.95
61,163,251,Biryani,2022-12-27 07:21:41,Delivered,602.67
62,1819,71,Rogan Josh,2025-01-04 07:21:41,Delivered,397.77
63,4179,105,Dal Makhani,2023-03-28 07:21:41,Cancelled,664.42
64,9973,285,Dosa,2022-09-13 07:21:41,Preparing,1062.28
65,8483,481,Biryani,2024-03-02 07:21:41,Cancelled,970.77
66,1256,500,Samosa,2025-01-08 07:21:41,Delivered,1428.28
67,8186,285,Chole Bhature,2024-10-30 07:21:41,Preparing,262.51
68,5171,95,Mutton Curry,2025-01-19 07:21:41,Cancelled,1456.58
69,9707,260,Dal Makhani,2024-04-12 07:21:41,Delivered,232.38
70,3803,277,Chole Bhature,2022-05-31 07:21:41,Delivered,1482.99
71,5776,220,Samosa,2022-10-30 07:21:41,Preparing,186.14
72,6176,11,Biryani,2024-02-13 07:21:41,Preparing,976.33
73,6345,421,Dosa,2024-10-12 07:21:41,Cancelled,1369.94
74,5339,412,Dal Makhani,2023-04-11 07:21:41,Delivered,396.68
75,8473,64,Butter Chicken,2023-01-15 07:21:41,Cancelled,506.45
76,5583,238,Pani Puri,2023-10-14 07:21:41,Delivered,738.42
77,9292,453,Butter Chicken,2022-09-30 07:21:41,Cancelled,872.85
78,6759,472,Chole Bhature,2023-09-03 07:21:41,Delivered,950.2
79,6281,277,Dosa,2023-01-06 07:21:41,Cancelled,1384.45
80,8172,244,Butter Chicken,2024-01-04 07:21:41,Preparing,1422.56
81,115,250,Butter Chicken,2023-07-03 07:21:41,Cancelled,1184.46
82,6357,330,Paneer Tikka,2024-02-19 07:21:41,Cancelled,652.51
83,486,250,Butter Chicken,2023-07-11 07:21:41,Preparing,1285.22
84,7127,285,Dosa,2023-11-26 07:21:41,Delivered,1143.89
85,3065,348,Rogan Josh,2022-07-20 07:21:41,Cancelled,288.72
86,3785,109,Biryani,2023-01-17 07:21:41,Preparing,1490.3
87,9835,200,Pani Puri,2025-02-02 07:21:41,Cancelled,1155.68
88,2908,356,Biryani,2024-06-17 07:21:41,Delivered,1454.76
