Restaurant_id,Restaurant_name,city,Opening_hours,Restaurant_reviews
1,Ravel-Kara,Mumbai,10:00 AM - 11:00 PM,3.4
2,Sha-Hegde,Pune,10:00 AM - 11:00 PM,2.9
3,Tandon PLC,Hyderabad,10:00 AM - 11:00 PM,4.7
4,Ravi PLC,Delhi,10:00 AM - 11:00 PM,4.1
5,Bahl-Kant,Chennai,10:00 AM - 11:00 PM,4.8
6,"Loke, Sule and Jha",Mumbai,10:00 AM - 11:00 PM,4.4
7,Savant-Rao,Chennai,10:00 AM - 11:00 PM,2.6
8,"Deshpande, Bahri and Subramanian",Pune,10:00 AM - 11:00 PM,3.0
9,Jha-Dugal,Mumbai,10:00 AM - 11:00 PM,4.3
10,"Rau, Edwin and Sandal",Bangalore,10:00 AM - 11:00 PM,3.7
11,"Kumer, Wason and Basu",Chennai,10:00 AM - 11:00 PM,2.5
12,Goel PLC,Mumbai,10:00 AM - 11:00 PM,4.5
13,Lata Group,Ahmedabad,10:00 AM - 11:00 PM,4.1
14,"Saini, Kalita and Chaudhuri",Jaipur,10:00 AM - 11:00 PM,3.7
15,"Bhatt, Bumb and Kade",Mumbai,10:00 AM - 11:00 PM,3.7
16,Sathe-Dani,Ahmedabad,10:00 AM - 11:00 PM,4.1
17,"Dube, Kala and Dara",Jaipur,10:00 AM - 11:00 PM,4.9
18,"Anne, Barad and Chakraborty",Hyderabad,10:00 AM - 11:00 PM,3.9
19,Sehgal Group,Hyderabad,10:00 AM - 11:00 PM,2.6
20,Hans Ltd,Jaipur,10:00 AM - 11:00 PM,3.8
21,"De, Dass and Toor",Bangalore,10:00 AM - 11:00 PM,4.3
22,Cherian-Sarraf,Jaipur,10:00 AM - 11:00 PM,4.0
23,"Gera, Vasa and Soman",Jaipur,10:00 AM - 11:00 PM,4.4
24,"Master, Datta and Jayaraman",Jaipur,10:00 AM - 11:00 PM,2.7
25,Sanghvi Group,Surat,10:00 AM - 11:00 PM,4.3
26,"Gaba, Hayer and Dey",Kolkata,10:00 AM - 11:00 PM,4.4
27,"Ratti, Keer and Dugar",Kolkata,10:00 AM - 11:00 PM,4.2
28,Apte-Jayaraman,Pune,10:00 AM - 11:00 PM,4.8
29,Shan Inc,Bangalore,10:00 AM - 11:00 PM,4.5
30,Jha-Buch,Pune,10:00 AM - 11:00 PM,3.1
31,Sethi and Sons,Hyderabad,10:00 AM - 11:00 PM,2.5
32,"Comar, Raju and Sane",Chennai,10:00 AM - 11:00 PM,3.6
33,Varma Inc,Jaipur,10:00 AM - 11:00 PM,4.0
34,Rajagopal-Reddy,Bangalore,10:00 AM - 11:00 PM,2.6
35,"Shanker, Bhakta and Goswami",Jaipur,10:00 AM - 11:00 PM,4.6
36,Kala Group,Bangalore,10:00 AM - 11:00 PM,3.4
37,Khatri-Dutt,Surat,10:00 AM - 11:00 PM,3.2
38,Kalla Group,Mumbai,10:00 AM - 11:00 PM,4.6
39,Sen-Balay,Mumbai,10:00 AM - 11:00 PM,2.6
40,"Dhar, Bassi and Toor",Hyderabad,10:00 AM - 11:00 PM,4.8
41,Keer-Dhar,Pune,10:00 AM - 11:00 PM,4.1
42,Sodhi-Sankaran,Pune,10:00 AM - 11:00 PM,4.1
43,Dar Inc,Bangalore,10:00 AM - 11:00 PM,2.6
44,Choudhury-Tandon,Ahmedabad,10:00 AM - 11:00 PM,4.4
45,"Sood, Dugal and Chad",Delhi,10:00 AM - 11:00 PM,3.0
46,Ahluwalia-Reddy,Kolkata,10:00 AM - 11:00 PM,5.0
47,Sathe LLC,Jaipur,10:00 AM - 11:00 PM,3.4
48,Kaul and Sons,Pune,10:00 AM - 11:00 PM,4.8
49,Wagle Group,Surat,10:00 AM - 11:00 PM,4.7
50,Kulkarni-Setty,Pune,10:00 AM - 11:00 PM,2.6
51,"Dey, Butala and Dhingra",Ahmedabad,10:00 AM - 11:00 PM,4.5
52,Bala LLC,Surat,10:00 AM - 11:00 PM,4.4
53,"Manda, Kari and Iyengar",Hyderabad,10:00 AM - 11:00 PM,2.6
54,"Majumdar, Sani and Barad",Mumbai,10:00 AM - 11:00 PM,2.9
55,Bawa PLC,Pune,10:00 AM - 11:00 PM,3.2
56,Kaul Inc,Delhi,10:00 AM - 11:00 PM,3.8
57,Dutta and Sons,Pune,10:00 AM - 11:00 PM,3.4
58,Wagle and Sons,Delhi,10:00 AM - 11:00 PM,4.4
59,Goel-Bail,Hyderabad,10:00 AM - 11:00 PM,4.1
60,Jha-Ram,Surat,10:00 AM - 11:00 PM,2.6
61,Johal-Shere,Mumbai,10:00 AM - 11:00 PM,2.9
62,"Chauhan, Varughese and Sethi",Surat,10:00 AM - 11:00 PM,4.4
63,Raval LLC,Mumbai,10:00 AM - 11:00 PM,4.4
64,Rama-Dey,Hyderabad,10:00 AM - 11:00 PM,3.0
65,Chaudry-Kala,Mumbai,10:00 AM - 11:00 PM,4.4
66,Sood-Varma,Surat,10:00 AM - 11:00 PM,4.4
67,Date Inc,Ahmedabad,10:00 AM - 11:00 PM,4.3
68,Boase Group,Pune,10:00 AM - 11:00 PM,3.2
69,"Swaminathan, Korpal and Bumb",Chennai,10:00 AM - 11:00 PM,5.0
70,Shere-Lanka,Pune,10:00 AM - 11:00 PM,3.4
71,"Sarkar, Kale and Manne",Mumbai,10:00 AM - 11:00 PM,4.1
72,"De, Deshmukh and Yadav",Pune,10:00 AM - 11:00 PM,2.9
73,Babu-Chaudhary,Pune,10:00 AM - 11:00 PM,4.7
74,De Ltd,Hyderabad,10:00 AM - 11:00 PM,3.0
75,"Dugar, Majumdar and Bath",Surat,10:00 AM - 11:00 PM,3.8
76,Mann-Gara,Kolkata,10:00 AM - 11:00 PM,4.9
77,Mallick LLC,Chennai,10:00 AM - 11:00 PM,3.3
78,"Thaker, Bobal and Dash",Chennai,10:00 AM - 11:00 PM,2.5
79,"Rama, Bawa and Bail",Bangalore,10:00 AM - 11:00 PM,3.2
80,"Kaur, Korpal and Chana",Pune,10:00 AM - 11:00 PM,2.8
